Donald Trump,John Kasich,Ted Cruz,fips
0.251,0.175,0.08316110247197839,6001
0.279,0.175,0.14433876129122364,6013
0.279,0.175,0.08404729158034982,6037
0.411,0.114,0.09306038816633096,6041
0.539,0.114,0.08959930543127162,6055
0.279,0.175,0.08513351637959524,6059
0.279,0.114,0.08795713752599948,6073
0.251,0.175,0.08668444318675775,6075
0.539,0.114,0.09264982833984334,6079
0.251,0.175,0.08308017368456047,6081
0.539,0.114,0.09105573138140177,6083
0.279,0.175,0.08542650443789435,6085
0.539,0.114,0.09047459274272954,6087
0.539,0.114,0.0897747488193327,6097
0.539,0.114,0.08959930543127162,6111
0.406,0.175,0.08570786729809551,9001
0.406,0.226,0.08271865678042792,11001
0.406,0.226,0.08271865678042792,11001
0.406,0.226,0.08271865678042792,11001
0.406,0.226,0.08271865678042792,11001
0.279,0.175,0.08708221406686431,15003
0.411,0.114,0.09113254492712355,15007
0.411,0.114,0.0912011680143984,15009
0.279,0.152,0.08757893008281742,24027
0.251,0.175,0.13119239867881588,24031
0.279,0.175,0.08770897596415247,34003
0.411,0.114,0.1642964819174909,34019
0.411,0.242,0.163482732885193,34025
0.411,0.152,0.08819387842944948,34027
0.279,0.152,0.08624884561168811,34035
0.251,0.175,0.16398597788228247,36047
0.279,0.175,0.15091507008769456,36059
0.168,0.175,0.08436307291173514,36061
0.251,0.175,0.15695189340162796,36081
0.279,0.175,0.16409588755425203,36085
0.411,0.175,0.08481311480876999,36087
0.411,0.175,0.08669429449337274,36103
0.406,0.175,0.142661775899086,36119
