Donald Trump,John Kasich,Ted Cruz,fips
0.40343322056255854,0.13214296415298438,0.34403883495145754,18001
0.3366424874804142,0.2892059193182338,0.3590718038528901,18003
0.3538147787128939,0.10094643308346107,0.3484075144508673,18007
0.39390441476574306,0.24288280360045605,0.3055147286821709,18009
0.3713312623562412,0.1610584476408996,0.3228979820627811,18015
0.35863126804705636,0.05621351725011327,0.36762564766839356,18017
0.3984357283893515,0.2726339483255484,0.29306759906759894,18021
0.34372684775260504,0.09648567890467881,0.3580615034168565,18023
0.45737897648484555,0.10597207349146104,0.2928529411764704,18025
0.4118548130321735,0.09193565562360359,0.31641199606686304,18027
0.38882905196861756,0.2302568917512595,0.3174503546099292,18031
0.36729085252081906,0.29025225080739664,0.2896814814814813,18033
0.3940433012103523,0.2325128689887639,0.2525,18035
0.4667560922327229,0.13961783811964013,0.21859090909090909,18041
0.38841378784961506,0.12229353822725017,0.30240851063829777,18045
0.3971806671384763,0.11258360557413588,0.3228979820627811,18049
0.3498962591164138,0.21247727308477293,0.3022705167173253,18051
0.37811813531978594,0.19795941214029847,0.30240851063829777,18053
0.413473710730143,0.1201895277461185,0.3114767932489453,18055
0.41600327410645904,0.2891149455592871,0.28325751879699246,18065
0.35601262739587725,0.24069638387180176,0.25444485294117675,18067
0.3645573199440718,0.2994527921492237,0.2896814814814813,18069
0.3730219648866365,0.23181658220168735,0.3228979820627811,18071
0.3953538771809843,0.09997516918199698,0.3363307839388154,18075
0.40965146181148293,0.1377017647206709,0.2745213178294573,18077
0.4041825760771121,0.18854561352675653,0.3055147286821709,18079
0.38404103804297296,0.1917906735666998,0.3011783166904414,18083
0.41619633055729527,0.20276736544507462,0.28325751879699246,18093
0.39630316180826247,0.2355812934092517,0.2500464601769915,18095
0.3968847609283685,0.29473452723165067,0.2745213178294573,18097
0.4116885655408401,0.17714846711742033,0.30240851063829777,18101
0.3991989248521283,0.10461462774836185,0.3363307839388154,18103
0.3734867019296894,0.23932076629249902,0.28325751879699246,18107
0.3830965454050641,0.10908150738827534,0.33924097664543706,18111
0.3850525672973634,0.15235418012064808,0.3363307839388154,18113
0.44822208653218165,0.09550658101843132,0.3011783166904414,18117
0.4421751627974159,0.13037538389021808,0.3011783166904414,18119
0.41428117832464684,0.10925358178306402,0.3363307839388154,18121
0.41060108241965354,0.11705408941482535,0.2928529411764704,18123
0.3958133209256442,0.15101920797650265,0.3022705167173253,18125
0.39050964221751194,0.053528201343883815,0.3371698717948715,18131
0.38762697726842266,0.11500562638182209,0.3022705167173253,18135
