,CT,MD,DE,PA,RI
Donald Trump,0.501534770343,0.537724813726,0.512388729493,0.470487618214,0.454512891424
John Kasich,0.239164852945,0.20352144133,0.158052124854,0.217380318982,0.25334845368
Ted Cruz,0.259300376712,0.258753744945,0.329559145653,0.312132062804,0.292138654896
